985,1,985,"Lic. María Flores Pérez","Neurología","Enfermera Jefe","III Nivel","COLMED-CH-2450",29
986,1,986,"Lic. Marcos Gutiérrez Quispe","Dermatología","Enfermera Jefe","III Nivel","COLMED-PA-9198",34
987,1,987,"Lic. María Choque Vaca","Pediatría","Enfermera Jefe","II Nivel","COLMED-PO-2962",19
988,1,988,"Dr. Ana Pérez Rojas","Medicina General","Médico General","II Nivel","COLMED-LP-1565",6
989,1,989,"Lic. Fernando Vaca Nina","Anestesiología","Enfermera","I Nivel","COLMED-BE-9245",37
990,1,990,"Lic. Silvia Rojas Nina","Traumatología","Enfermera Jefe","II Nivel","COLMED-CB-7512",15
991,1,991,"Lic. Daniela Rojas Pinto","Endocrinología","Enfermera","I Nivel","COLMED-TJ-8383",6
992,1,992,"Lic. Fernando Vargas Vargas","Endocrinología","Técnico Sanitario","III Nivel","COLMED-CH-3930",39
993,1,993,"Lic. Juan Nina Mercado","Dermatología","Enfermera Jefe","II Nivel","COLMED-CH-3952",1
994,1,994,"Dr. José Aguilar Vaca","Traumatología","Médico Especialista","III Nivel","COLMED-BE-2457",12
995,1,995,"Lic. Carmen Ticona Arce","Dermatología","Enfermera Jefe","II Nivel","COLMED-PO-1105",40
996,1,996,"Dra. Pedro Condori Aguilar","Traumatología","Cirujano","III Nivel","COLMED-OR-4584",11
997,1,997,"Lic. José Ticona Mendoza","Endocrinología","Enfermera","I Nivel","COLMED-PA-3390",10
998,1,998,"Dr. José Pérez Aguilar","Urología","Médico Especialista","III Nivel","COLMED-CH-8834",39
999,1,999,"Dra. Raúl Vargas Mendoza","Oftalmología","Médico General","II Nivel","COLMED-PO-4910",24
1000,1,1000,"Dr. Hugo Aguilar Quispe","Cirugía General","Médico Especialista","II Nivel","COLMED-TJ-1048",11
